dataset,wos_1985,wos_1985_95th,ap_1985,ap_1985_95th,imm_1985,imm_1985_95th,metab_1985,metab_1985_95th,
min,2,2,2,2,2,3,2,2,48
Q1,7,16,5,8,12,20,13,20,
median,12,25,9,12,20,27,20,28,
mean,15.36,27.3,11,17.2,21,28,22.3,30.4,
Q3,21,35,14,20,28,35,29,37,
max,417,381,223,109,97,91,417,270,
dataset,wos_1995,wos_1995_95th,ap_1995,ap_1995_95th,imm_1995,imm_1995_95th,metab_1995,metab_1995_95th,
min,2,2,2,2,2,5,2,2,60
Q1,9,21,6,9,18,26,19,27,
median,16,30,10,12,27,35,27,36,
mean,19.5,33.1,12,15.3,28.8,37.3,29.3,38.3,
Q3,27,43,16,18,37,47,38,47,
max,464,341,136,75,224,224,341,341,
dataset,wos_2005,wos_2005_95th,ap_2005,ap_2005_95th,imm_2005,imm_2005_95th,metab_2005,metab_2005_95th,
min,2,2,2,2,2,4,2,2,76
Q1,10,21,8,14,21,28,22,28,
median,19,31,13,20,31,38,32,38,
mean,22.4,34.33,15.2,22.5,33.1,39.5,33.8,40.4,
Q3,31,44,20,28,43,49,43,49,
max,872,872,431,184,265,183,374,374,
